Mat_Discipline,Mat_ISO_19650_ID,Mat_Code,Mat_Element_Type,Mat_Category,Mat_Name,Mat_Application,Mat_Location,Mat_Thickness_MM,Mat_Cost_USD,Mat_Cost_UGX,Mat_Durability,Mat_Specifications,Mat_Layer_Count,Mat_Layer_1_Material,Mat_Layer_1_Thickness_MM,Mat_Layer_1_Function,Mat_Layer_2_Material,Mat_Layer_2_Thickness_MM,Mat_Layer_2_Function,Mat_Layer_3_Material,Mat_Layer_3_Thickness_MM,Mat_Layer_3_Function,Mat_Layer_4_Material,Mat_Layer_4_Thickness_MM,Mat_Layer_4_Function,Mat_Layer_5_Material,Mat_Layer_5_Thickness_MM,Mat_Layer_5_Function,Mat_Manufacturer,Mat_Standard,Mat_Features,Prop_Density_KG_M3,Prop_Thermal_Cond_W_MK,Prop_Thermal_Res_M2K_W,Prop_Specific_Heat_J_KGK,Prop_Fire_Rating,Prop_Acoustic_Abs,Prop_Sound_Red_DB,Prop_Carbon_KG_M3,Prop_Comp_Strength_MPA,Prop_Tens_Strength_MPA,Load_Bearing,Use_Case
WALLS,A-WALL-INT-PART-100MM-W001,WL-001,A-WALL-INT,GYPSUM BOARD PARTITION,INTERIOR PARTITION 100MM GYPSUM,INTERNAL PARTITION,INTERIOR,100,8.0,29600,GOOD,LIGHTWEIGHT PARTITION 12.5MM EACH SIDE,3,GYPSUM BOARD 12.5MM,12.5,FINISH [5],METAL STUD 75MM,75,STRUCTURE [1],GYPSUM BOARD 12.5MM,12.5,FINISH [5],,0,,,0,,Generic,BS EN 14195:2014,LIGHTWEIGHT | EASY INSTALL,800,0.25,0.4,1000,30 MINS,0.02,35,60,0,0,FALSE,General interior partitions
WALLS,A-WALL-INT-PART-125MM-W002,WL-002,A-WALL-INT,GYPSUM BOARD PARTITION,INTERIOR PARTITION 125MM ACOUSTIC,INTERNAL PARTITION,INTERIOR,125,12.0,44400,VERY GOOD,ACOUSTIC PARTITION WITH INSULATION,5,GYPSUM BOARD 12.5MM,12.5,FINISH [5],METAL STUD 100MM,100,STRUCTURE [1],MINERAL WOOL 100MM,100,THERMAL/ACOUSTIC [3],GYPSUM BOARD 12.5MM,12.5,FINISH [5],,Generic,BS EN 14195:2014,ACOUSTIC | THERMAL,220,0.04,3.13,1000,60 MINS,0.25,50,35,0,0,FALSE,Sound insulation between rooms
WALLS,A-WALL-INT-PART-150MM-W003,WL-003,A-WALL-INT,GYPSUM BOARD PARTITION,INTERIOR PARTITION 150MM FIRE-RATED,INTERNAL PARTITION,INTERIOR,150,15.0,55500,EXCELLENT,FIRE-RATED PARTITION 2 LAYERS EACH SIDE,5,GYPSUM BOARD 12.5MM x2,25,FINISH [5],METAL STUD 100MM,100,STRUCTURE [1],GYPSUM BOARD 12.5MM x2,25,FINISH [5],,0,,,0,,Generic,BS EN 14195:2014,FIRE-RATED | HIGH PERFORMANCE,850,0.25,0.6,1000,120 MINS,0.02,45,65,0,0,FALSE,Fire compartmentation walls
WALLS,A-WALL-INT-BLOCK-100MM-W004,WL-004,A-WALL-INT,CONCRETE BLOCK,INTERIOR BLOCK WALL 100MM HOLLOW,INTERNAL LOADBEARING,INTERIOR,100,8.0,29600,EXCELLENT,HOLLOW CONCRETE BLOCK 100MM,1,HOLLOW CONCRETE BLOCK,100,STRUCTURE [1],,0,,,0,,,0,,,0,,Generic,BS EN 771-3:2011,LOADBEARING | DURABLE,1400,0.6,0.167,1000,90 MINS,0.05,42,420,7.0,0.7,TRUE,Structural interior walls
WALLS,A-WALL-INT-BLOCK-150MM-W005,WL-005,A-WALL-INT,CONCRETE BLOCK,INTERIOR BLOCK WALL 150MM HOLLOW,INTERNAL LOADBEARING,INTERIOR,150,12.0,44400,EXCELLENT,HOLLOW CONCRETE BLOCK 150MM,1,HOLLOW CONCRETE BLOCK,150,STRUCTURE [1],,0,,,0,,,0,,,0,,Generic,BS EN 771-3:2011,LOADBEARING | HIGH STRENGTH,1400,0.6,0.25,1000,120 MINS,0.05,45,420,10.0,1.0,TRUE,Loadbearing partition walls
WALLS,A-WALL-INT-BLOCK-200MM-W006,WL-006,A-WALL-INT,CONCRETE BLOCK,INTERIOR BLOCK WALL 200MM SOLID,INTERNAL LOADBEARING,INTERIOR,200,15.0,55500,EXCELLENT,SOLID CONCRETE BLOCK 200MM,1,SOLID CONCRETE BLOCK,200,STRUCTURE [1],,0,,,0,,,0,,,0,,Generic,BS EN 771-3:2011,HIGH STRENGTH | LOADBEARING,2200,1.3,0.154,1000,180 MINS,0.05,50,660,20.0,2.0,TRUE,Heavy structural interior walls
WALLS,A-WALL-EXT-BRICK-325MM-W007,WL-007,A-WALL-EXT,BRICK CAVITY WALL,EXTERNAL BRICK CAVITY WALL 325MM,EXTERNAL LOADBEARING,EXTERIOR,325,25.0,92500,EXCELLENT,BRICK + CAVITY + BLOCK + PLASTER,5,BRICK 100MM,100,STRUCTURE [1],AIR CAVITY 50MM,50,INSULATION [3],CONCRETE BLOCK 150MM,150,STRUCTURE [1],CEMENT PLASTER 15MM,15,FINISH [5],PAINT 0.5MM,0.5,FINISH [5],Generic,BS EN 771-1:2011,THERMAL | DURABLE,1900,0.52,0.625,920,90 MINS,0.05,45,380,15.0,1.5,TRUE,Traditional brick exterior walls
WALLS,A-WALL-EXT-BRICK-400MM-W008,WL-008,A-WALL-EXT,BRICK CAVITY WALL,EXTERNAL BRICK CAVITY INSULATED 400MM,EXTERNAL LOADBEARING,EXTERIOR,400,35.0,129500,EXCELLENT,BRICK + INSULATION + BLOCK + PLASTER,5,BRICK 100MM,100,STRUCTURE [1],RIGID INSULATION 75MM,75,INSULATION [3],CONCRETE BLOCK 200MM,200,STRUCTURE [1],CEMENT PLASTER 20MM,20,FINISH [5],PAINT 0.5MM,0.5,FINISH [5],Generic,BS EN 771-1:2011,HIGH THERMAL | ENERGY EFFICIENT,1100,0.18,2.22,900,120 MINS,0.05,50,280,18.0,1.8,TRUE,Insulated exterior brick walls
WALLS,A-WALL-EXT-CONCRETE-200MM-W009,WL-009,A-WALL-EXT,CONCRETE WALL,EXTERNAL CONCRETE WALL 200MM,EXTERNAL LOADBEARING,EXTERIOR,200,18.0,66600,EXCELLENT,CAST CONCRETE 200MM,1,REINFORCED CONCRETE C30,200,STRUCTURE [1],,0,,,0,,,0,,,0,,Generic,BS EN 206:2013,MONOLITHIC | HIGH STRENGTH,2400,1.4,0.143,840,120 MINS,0.02,48,360,30.0,2.5,TRUE,Structural concrete exterior
WALLS,A-WALL-EXT-CONCRETE-250MM-W010,WL-010,A-WALL-EXT,CONCRETE WALL,EXTERNAL CONCRETE WALL 250MM INSULATED,EXTERNAL LOADBEARING,EXTERIOR,280,28.0,103600,EXCELLENT,CONCRETE + INSULATION + RENDER,3,REINFORCED CONCRETE 250MM,250,STRUCTURE [1],EPS INSULATION 25MM,25,INSULATION [3],CEMENT RENDER 5MM,5,FINISH [5],,0,,,0,,Generic,BS EN 206:2013,THERMAL | STRONG,1850,0.52,0.538,860,150 MINS,0.02,50,330,32.0,2.8,TRUE,Insulated concrete walls
